column,unique_count,value,count,percentage
Provider_State,10,NY,323,10.795454545454545
Provider_State,10,PA,316,10.56149732620321
Provider_State,10,WA,312,10.427807486631016
Provider_State,10,AL,310,10.36096256684492
Provider_State,10,GA,298,9.959893048128341
Provider_State,10,FL,294,9.82620320855615
Provider_State,10,CA,289,9.659090909090908
Provider_State,10,AZ,287,9.592245989304812
Provider_State,10,OH,287,9.592245989304812
Provider_State,10,TX,276,9.224598930481283
Status,3,PAID,2512,83.9572192513369
Status,3,REJECTED,461,15.407754010695188
Status,3,PENDING,19,0.6350267379679144
Drug_Name,423,VANCOMYCIN HCL,31,1.036096256684492
Drug_Name,423,VANCOMYCIN,27,0.9024064171122994
Drug_Name,423,CEFTAZIDIME,26,0.8689839572192514
Drug_Name,423,LEVAQUIN,19,0.6350267379679144
Drug_Name,423,GEODON,19,0.6350267379679144
Drug_Name,423,TREZIX,19,0.6350267379679144
Drug_Name,423,VIBRAMYCIN,19,0.6350267379679144
Drug_Name,423,CEFEPIME,18,0.6016042780748663
Drug_Name,423,CIPROFLOXACIN-D5W,18,0.6016042780748663
Drug_Name,423,ZOSYN,15,0.5013368983957219
Drug_Name,423,LINEZOLID-0.9% NACL,15,0.5013368983957219
Drug_Name,423,HALOPERIDOL,15,0.5013368983957219
Drug_Name,423,CARISOPRODOL COMPOUND-CODEINE,14,0.4679144385026738
Drug_Name,423,PENICILLIN G SODIUM,14,0.4679144385026738
Drug_Name,423,AMPICILLIN TRIHYDRATE,14,0.4679144385026738
Drug_Name,423,CEFTRIAXONE,14,0.4679144385026738
Drug_Name,423,XTAMPZA ER,14,0.4679144385026738
Drug_Name,423,VANCOMYCIN HCL-D5W,13,0.4344919786096257
Drug_Name,423,CO-GESIC,13,0.4344919786096257
Drug_Name,423,UNASYN,13,0.4344919786096257
Drug_Name,423,CEFOTETAN & DEXTROSE,13,0.4344919786096257
Drug_Name,423,QUETIAPINE FUMARATE,13,0.4344919786096257
Drug_Name,423,DAPTOMYCIN-0.9% NACL,13,0.4344919786096257
Drug_Name,423,LEVORPHANOL TARTRATE,13,0.4344919786096257
Drug_Name,423,FORTAZ,13,0.4344919786096257
Drug_Name,423,SUBSYS,12,0.4010695187165776
Drug_Name,423,HALOPERIDOL LACTATE,12,0.4010695187165776
Drug_Name,423,SYNALGOS-DC,12,0.4010695187165776
Drug_Name,423,HYDROCODONE-ACETAMINOPHEN,12,0.4010695187165776
Drug_Name,423,CEFAZOLIN SODIUM,12,0.4010695187165776
Drug_Name,423,SOLODYN,12,0.4010695187165776
Drug_Name,423,MONODOX,12,0.4010695187165776
Drug_Name,423,FORTAZ IN ISO-OSMOTIC DEXTROSE,12,0.4010695187165776
Drug_Name,423,BUTALB-CAFF-ACETAMINOPH-CODEIN,12,0.4010695187165776
Drug_Name,423,DURAGESIC,11,0.3676470588235294
Drug_Name,423,CHLORPROMAZINE HCL,11,0.3676470588235294
Drug_Name,423,HALDOL,11,0.3676470588235294
Drug_Name,423,HYDROMORPHONE HCL,11,0.3676470588235294
Drug_Name,423,DORIPENEM,11,0.3676470588235294
Drug_Name,423,BICILLIN L-A,11,0.3676470588235294
Drug_Name,423,CEFTIBUTEN,11,0.3676470588235294
Drug_Name,423,RISPERDAL,11,0.3676470588235294
Drug_Name,423,FLAGYL ER,11,0.3676470588235294
Drug_Name,423,ERYTHROMYCIN,11,0.3676470588235294
Drug_Name,423,CEFUROXIME,11,0.3676470588235294
Drug_Name,423,PIMOZIDE,11,0.3676470588235294
Drug_Name,423,AUGMENTIN XR,11,0.3676470588235294
Drug_Name,423,BIAXIN,10,0.3342245989304813
Drug_Name,423,MACROBID,10,0.3342245989304813
Drug_Name,423,INVEGA SUSTENNA,10,0.3342245989304813
Drug_Name,423,MINOCIN,10,0.3342245989304813
Drug_Name,423,AMPICILLIN-SULBACTAM,10,0.3342245989304813
Drug_Name,423,SEGLENTIS,10,0.3342245989304813
