column,unique_count,value,count,percentage
Provider_State,22,FL,1454,29.033546325878596
Provider_State,22,IL,481,9.604632587859426
Provider_State,22,GA,370,7.388178913738019
Provider_State,22,IN,341,6.809105431309905
Provider_State,22,AZ,317,6.329872204472843
Provider_State,22,CO,294,5.8706070287539935
Provider_State,22,MD,292,5.830670926517572
Provider_State,22,MA,224,4.472843450479233
Provider_State,22,AL,160,3.1948881789137378
Provider_State,22,KY,157,3.1349840255591053
Provider_State,22,IA,147,2.9353035143769968
Provider_State,22,LA,143,2.8554313099041533
Provider_State,22,CT,135,2.6956869009584663
Provider_State,22,KS,98,1.9568690095846646
Provider_State,22,AR,98,1.9568690095846646
Provider_State,22,HI,81,1.6174121405750796
Provider_State,22,ID,64,1.2779552715654952
Provider_State,22,ME,53,1.0583067092651757
Provider_State,22,DE,48,0.9584664536741214
Provider_State,22,DC,24,0.4792332268370607
Provider_State,22,AK,17,0.33945686900958466
Provider_State,22,MI,10,0.1996805111821086
Status,3,PAID,4926,98.3626198083067
Status,3,DENIED,42,0.8386581469648562
Status,3,PENDING,40,0.7987220447284344
Auth_Required_Flag,2,N,4267,85.20367412140575
Auth_Required_Flag,2,Y,741,14.79632587859425
SLA_Breach_Flag,2,N,4968,99.20127795527156
SLA_Breach_Flag,2,UNKNOWN_NO_DATE,40,0.7987220447284344
